nama,alamat,nama_bangunan,nama_jalan,rt,rw,kelurahan,kecamatan,kota,kode_pos,telepon,fax,selular,ukuran_usaha,kategori_usaha,kegiatan_usaha,jenis_usaha,siup,npwp
JASA PEMBASMI SERANGGA SUMARSO,"Jl. Pratama 1 No. 50, Jakarta Selatan",,Jl. Pratama 1 No. 50,,,,,Jakarta Selatan,,,,,Usaha Mikro ,Jasa,,PERORANGAN,,
JASA PENDIDIKAN TK KARTIKA,"Jl. Pengadegan Selatan Raya, Jakarta Selatan",,Jl. Pengadegan Selatan Raya,,,,,Jakarta Selatan,,,,,Usaha Mikro ,Jasa,,PERORANGAN,,
JASA PENGAJIAN H.TOYIB,"Jl. Haji Nawi No. 20, Jakarta Selatan",,Jl. Haji Nawi No. 20,,,,,Jakarta Selatan,,0217373854,,,Usaha Mikro ,Jasa,Jasa mengajar membaca al quran,PERORANGAN,,
JASA PENGEBORAN SUMUR MARYONO,"Jl. Bangka I D No. 5, Jakarta Selatan",,Jl. Bangka I D No. 5,,,,,Jakarta Selatan,,,,,Usaha Mikro ,Jasa,,PERORANGAN,,
JASA PENITIPAN BPK TANU,"Jl. Bangka II C, Jakarta Selatan",,Jl. Bangka II C,,,,,Jakarta Selatan,,,,,Usaha Mikro ,Jasa,,PERORANGAN,,
JASA PENJAHIT KONVEKSI WANDI,"Jl. Mampang Prapatan Xvi, Jakarta Selatan",,Jl. Mampang Prapatan Xvi,,,,,Jakarta Selatan,,,,,Usaha Mikro ,Jasa,,PERORANGAN,,
JASA PENJAHIT PERMANA,"Jl. G Bakti, Jakarta Selatan",,Jl. G Bakti,,,,,Jakarta Selatan,,,,,Usaha Mikro ,Home Industri,,PERORANGAN,,
JASA PENJAHIT SARWONO,"Jl. Damai Raya No. 56, Jakarta Selatan",,Jl. Damai Raya No. 56,,,,,Jakarta Selatan,,72798578,,,Usaha Mikro ,Jasa,,PERORANGAN,,
JASA PENYALUR PEMBANTU DWI ASIH,Gg Seri,Gg Seri,,,,,,Jakarta Selatan,,021-78880468,,,Usaha Mikro ,Jasa,,PERORANGAN,,
JASA PENYEWAAN KONTRAKAN KOMALASARI,Asrama Ex Harlap,Asrama Ex Harlap,,,,,,Jakarta Selatan,,,,,Usaha Mikro ,Jasa,,PERORANGAN,,
JASA PENYEWAAN KONTRAKAN SINUH,Asrama Ex Harlap,Asrama Ex Harlap,,,,,,Jakarta Selatan,,,,,Usaha Mikro ,Jasa,,PERORANGAN,,
JASA PENYEWAAN PLAYSTATION,"Jl. H Minum, Jakarta Selatan",,Jl. H Minum,,,,,Jakarta Selatan,,021-7365048,,,Usaha Mikro ,Jasa,,PERORANGAN,,
JASA PHOTO COPY,"Jl. Raya Pesanggrahan, Jakarta Selatan",,Jl. Raya Pesanggrahan,,,,,Jakarta Selatan,,081399845188,,,Usaha Mikro ,Jasa,,PERORANGAN,,
JASA PIJAT ANAK HJ MASTUROH,"Jl. Tanah Baru V, Jakarta Selatan",,Jl. Tanah Baru V,,,,,Jakarta Selatan,,,,,Usaha Mikro ,Jasa,,PERORANGAN,,
JASA PIJAT KATIMAN,"Jl. Kemandoran Vii, Jakarta Selatan",,Jl. Kemandoran Vii,,,,,Jakarta Selatan,,,,,Usaha Mikro ,Jasa,,PERORANGAN,,
JASA PIJAT REFLEKSI,Gg Bayumas No. 15,Gg Bayumas No. 15,,,,,,Jakarta Selatan,,08161610349,,,Usaha Mikro ,Jasa,,PERORANGAN,,
JASA PIJAT SARWOTO,"Jl. Pengadegan Utara, Jakarta Selatan",,Jl. Pengadegan Utara,,,,,Jakarta Selatan,,02179193436,,,Usaha Mikro ,Jasa,Jasa pijat tradisional,PERORANGAN,,
JASA PIJAT SUNARNO,"Jl. H Muchtar Raya No. 19, Jakarta Selatan",,Jl. H Muchtar Raya No. 19,,,,,Jakarta Selatan,,71094207,,,Usaha Mikro ,Jasa,,PERORANGAN,,
JASA PIJIT TARSONO,"Jl. Bangka Ii, Jakarta Selatan",,Jl. Bangka Ii,,,,,Jakarta Selatan,,,,,Usaha Mikro ,Jasa,,PERORANGAN,,
JASA POS KELILING MUHADI,Rasuna Said Gedung Bina Mulia,Rasuna Said Gedung Bina Mulia,,,,,,Jakarta Selatan,,08128097586,,,Usaha Mikro ,Jasa,,PERORANGAN,,
JASA RENTAL KOMPUTER,"Jl. Kr Rajiman, Jakarta Timur",,Jl. Kr Rajiman,,,,,Jakarta Timur,,02146821389,,,Usaha Mikro ,Jasa,Jasa kursus rental komputer,PERORANGAN,,
JASA RENTAL KOMPUTER RAHMAT,"Jl. Daksinapati Barat, Jakarta Timur",,Jl. Daksinapati Barat,,,,,Jakarta Timur,,,,,Usaha Mikro ,Jasa,,PERORANGAN,,
JASA REPARASI ELEKTRONIK ZAKARIA,"Jl. Cempaka IV Pasar Food Station, Jakarta Timur",,Jl. Cempaka IV Pasar Food Station,,,,,Jakarta Timur,,,,,Usaha Mikro ,Jasa,,PERORANGAN,,
JASA REPARASI JOK MOTOR ITOP,"Jl. Raya Bogor, Jakarta Timur",,Jl. Raya Bogor,,,,,Jakarta Timur,,,,,Usaha Mikro ,Jasa,,PERORANGAN,,
JASA REPARASI KULKAS TEHNIK RAMLI,"Jl. Pulo Mawar, Jakarta Selatan",,Jl. Pulo Mawar,,,,,Jakarta Selatan,,,,,Usaha Mikro ,Jasa,,PERORANGAN,,
JASA REPARASI SEPATU RUHIYAT,"Jl. Raya Bogor, Jakarta Timur",,Jl. Raya Bogor,,,,,Jakarta Timur,,,,,Usaha Mikro ,Jasa,,PERORANGAN,,
JASA RIAS PENGANTIN TANI,"Jl. Rawa Badung, Jakarta Timur",,Jl. Rawa Badung,,,,,Jakarta Timur,,,,,Usaha Mikro ,Jasa,,PERORANGAN,,
JASA RINGTONE DEDEN,Itc Kuningan Lt6,Itc Kuningan Lt6,,,,,,Jakarta Selatan,,,,,Usaha Mikro ,Jasa,,PERORANGAN,,
JASA RUMAH KOST EPI,"Jl. Balai Rakyat Iii, Jakarta Timur",,Jl. Balai Rakyat Iii,,,,,Jakarta Timur,,85682226,,,Usaha Mikro ,Jasa,,PERORANGAN,,
JASA SALON ANGGA,Kp Waru Doyong,Kp Waru Doyong,,,,,,Jakarta Timur,,,,,Usaha Mikro ,Jasa,Salon pria wanita,PERORANGAN,,
JASA SALON CHEPPY,"Jl. Masjid Abidin, Jakarta Timur",,Jl. Masjid Abidin,,,,,Jakarta Timur,,,,,Usaha Mikro ,Jasa,Jasa potong rambut,PERORANGAN,,
JASA SALON MAYANG,"Jl. Krt Radjiman, Jakarta Timur",,Jl. Krt Radjiman,,,,,Jakarta Timur,,,,,Usaha Mikro ,Jasa,,PERORANGAN,,
JASA SALON SOPIAH,"Jl. Kesatrian III No. 94, Jakarta Timur",,Jl. Kesatrian III No. 94,,,,,Jakarta Timur,,,,,Usaha Mikro ,Jasa,,PERORANGAN,,
JASA SEMIR SEPATU JONI,"Jl. Kubis I Samping Gardu Listrik, Jakarta Selatan",,Jl. Kubis I Samping Gardu Listrik,,,,,Jakarta Selatan,,,,,Usaha Mikro ,Jasa,,PERORANGAN,,
JASA SEMIR SEPATU UDI,Psr Blok A lt. 1,Psr Blok A lt. 1,,,,,,Jakarta Selatan,,,,,Usaha Mikro ,Jasa,,PERORANGAN,,
JASA SERUT KAYU GUNAWAN,"Jl. Bangka Ii, Jakarta Selatan",,Jl. Bangka Ii,,,,,Jakarta Selatan,,,,,Usaha Mikro ,Jasa,,PERORANGAN,,
JASA SERVICE AC PANGGILAN AMAT,"Jl. Kemang Utara, RT006/004, Jakarta Selatan",,Jl. Kemang Utara,006,004,,,Jakarta Selatan,,71793744,,,Usaha Mikro ,Jasa,,PERORANGAN,,
JASA SERVICE ELEKTRONIK DEDI,Kp Petukangan,Kp Petukangan,,,,,,Jakarta Timur,,,,,Usaha Mikro ,Jasa,,PERORANGAN,,
JASA SERVICE ELEKTRONIK TOMSON,"Jl. Rm Kahfi I Gg. Kopo, Jakarta Selatan",,Jl. Rm Kahfi I Gg. Kopo,,,,,Jakarta Selatan,,02178886111,,,Usaha Mikro ,Jasa,,PERORANGAN,,
JASA SERVICE HP DANO,"Jl. Bekasi Barat, Jakarta Timur",,Jl. Bekasi Barat,,,,,Jakarta Timur,,08561320200,,,Usaha Mikro ,Jasa,,PERORANGAN,,
JASA SERVICE HP PARMIN,"Jl. Pertanian Tengah, Jakarta Timur",,Jl. Pertanian Tengah,,,,,Jakarta Timur,,0218630368,,,Usaha Mikro ,Jasa,,PERORANGAN,,
JASA SERVICE JAM,"Jl. H Baping, Jakarta Timur",,Jl. H Baping,,,,,Jakarta Timur,,,,,Usaha Mikro ,Jasa,Jasa service jam,PERORANGAN,,
JASA SERVICE JAM BERKAH,"Jl. Raya Ciracas No. 13, Jakarta Timur",,Jl. Raya Ciracas No. 13,,,,,Jakarta Timur,,,,,Usaha Mikro ,Jasa,,PERORANGAN,,
JASA SERVICE POMPA AIR SAMAN,"Samping Itbu (, Jl. Malaka Merah ), Jakarta Timur",Samping Itbu (,Jl. Malaka Merah ),,,,,Jakarta Timur,,,,,Usaha Mikro ,Jasa,,PERORANGAN,,
JASA SERVICE TV BPK IMAN,Gg Wates,Gg Wates,,,,,,Jakarta Selatan,,,,,Usaha Mikro ,Jasa,,PERORANGAN,,
JASA SERVICE TV UDIN,Gg Kebun Jeruk Timur,Gg Kebun Jeruk Timur,,,,,,Jakarta Timur,,,,,Usaha Mikro ,Jasa,,PERORANGAN,,
JASA SERVIS ELEKTRONIK ABAS,"Jl. Pisangan Lama III No. 3, Jakarta Timur",,Jl. Pisangan Lama III No. 3,,,,,Jakarta Timur,,081586371112,,,Usaha Mikro ,Jasa,Jasa service barang elektronik,PERORANGAN,,
JASA SERVIS ELEKTRONIK EDI SISWANTO,"Jl. Kemandoran Pulo Mawar, Jakarta Selatan",,Jl. Kemandoran Pulo Mawar,,,,,Jakarta Selatan,,,,,Usaha Mikro ,Jasa,,PERORANGAN,,
JASA SERVIS ELEKTRONIK RAMLI,"Jl. Pengadegan Timur Iv, Jakarta Selatan",,Jl. Pengadegan Timur Iv,,,,,Jakarta Selatan,,02198185569,,,Usaha Mikro ,Jasa,,PERORANGAN,,
JASA SERVIS JAM ADE,"Jl. Kumbang, Jakarta Timur",,Jl. Kumbang,,,,,Jakarta Timur,,,,,Usaha Mikro ,Jasa,,PERORANGAN,,
JASA SERVIS JAM AEF,"Jl. Kumbang, Jakarta Timur",,Jl. Kumbang,,,,,Jakarta Timur,,,,,Usaha Mikro ,Jasa,,PERORANGAN,,
JASA SERVIS JAM AFIH,"Jl. Kumbang, Jakarta Timur",,Jl. Kumbang,,,,,Jakarta Timur,,,,,Usaha Mikro ,Jasa,,PERORANGAN,,
JASA SERVIS JAM MASDUKI,"Jl. Rawa Gelam, Jakarta Timur",,Jl. Rawa Gelam,,,,,Jakarta Timur,,,,,Usaha Mikro ,Jasa,,PERORANGAN,,
JASA SERVIS JAM MEMED,"Jl. Kumbang, Jakarta Timur",,Jl. Kumbang,,,,,Jakarta Timur,,,,,Usaha Mikro ,Jasa,,PERORANGAN,,
JASA SERVIS JAM UDIN,Rel Ka Bawah Jembatan,Rel Ka Bawah Jembatan,,,,,,Jakarta Timur,,,,,Usaha Mikro ,Jasa,,PERORANGAN,,
JASA SERVIS JAM UJANG,"Jl. Tanah Koja, Jakarta Timur",,Jl. Tanah Koja,,,,,Jakarta Timur,,,,,Usaha Mikro ,Jasa,,PERORANGAN,,
JASA SERVIS JAM UNING,"Jl. Kumbang, Jakarta Timur",,Jl. Kumbang,,,,,Jakarta Timur,,,,,Usaha Mikro ,Jasa,,PERORANGAN,,
JASA SERVIS KOMPUTER PARLIN,"Jl. H Muchtar Raya No. 52, Jakarta Selatan",,Jl. H Muchtar Raya No. 52,,,,,Jakarta Selatan,,5871732,,,Usaha Mikro ,Jasa,,PERORANGAN,,
JASA SERVIS KULKAS ABD ROSID,"Jl. Dewi Sartika Cililitan Kecil, Jakarta Timur",,Jl. Dewi Sartika Cililitan Kecil,,,,,Jakarta Timur,,,,,Usaha Mikro ,Jasa,,PERORANGAN,,
JASA SERVIS SOFA SYUKUR,"Jl. Raya Pondok Gede, Jakarta Timur",,Jl. Raya Pondok Gede,,,,,Jakarta Timur,,,,,Usaha Mikro ,Jasa,,PERORANGAN,,
JASA SEWA ALAT MUSIK JOY AGUD TIA,"Jl. Kemandoran, Jakarta Selatan",,Jl. Kemandoran,,,,,Jakarta Selatan,,,,,Usaha Mikro ,Jasa,,PERORANGAN,,
JASA SEWA ALAT PESTA H. OMAN,Masjid Al-fajri,Masjid Al-fajri,,,,,,Jakarta Selatan,,,,,Usaha Mikro ,Jasa,,PERORANGAN,,
JASA SEWA ALAT PESTA MAT KUNCIR,"Jl. Kemuning Ujung, Jakarta Timur",,Jl. Kemuning Ujung,,,,,Jakarta Timur,,,,,Usaha Mikro ,Jasa,,PERORANGAN,,
JASA SEWA ALAT PESTARAHAYU,"Jl. Jaha No. 20 A, Jakarta Selatan",,Jl. Jaha No. 20 A,,,,,Jakarta Selatan,,0217828302,,,Usaha Mikro ,Jasa,,PERORANGAN,,
JASA SEWA ANGKUTAN,"Jl. Srengseng Sawah No. 37, Jakarta Selatan",,Jl. Srengseng Sawah No. 37,,,,,Jakarta Selatan,,,,,Usaha Mikro ,Jasa,Jasa sewa angkutan,PERORANGAN,,
JASA SEWA GEROBAK AMINUDIN,"Jl. Kumbang No. 53b, Jakarta Timur",,Jl. Kumbang No. 53b,,,,,Jakarta Timur,,,,,Usaha Mikro ,Jasa,,PERORANGAN,,
JASA SEWA KAMAR MUSLIM,"Jl. Rambutan, Jakarta Timur",,Jl. Rambutan,,,,,Jakarta Timur,,8506243,,,Usaha Mikro ,Jasa,,PERORANGAN,,
JASA SEWA PAKAIAN PENGANTIN RENI,"Jl. Syaridin No. 1, Jakarta Selatan",,Jl. Syaridin No. 1,,,,,Jakarta Selatan,,08567764919,,,Usaha Mikro ,Jasa,,PERORANGAN,,
JASA SEWA PLAY STATION,Gang Langgar No. 36,Gang Langgar No. 36,,,,,,Jakarta Selatan,,00179184088,,,Usaha Mikro ,Jasa,,PERORANGAN,,
JASA SEWA PLAY STATION ADAM,"Jl. Al Koromiah No. 9, Jakarta Timur",,Jl. Al Koromiah No. 9,,,,,Jakarta Timur,,,,,Usaha Mikro ,Jasa,Jasa penyewaan playstation,PERORANGAN,,
JASA SEWA PLAY STATION OMAR,"Jl. Kostrad No. 4, Jakarta Selatan",,Jl. Kostrad No. 4,,,,,Jakarta Selatan,,021-5874471,,,Usaha Mikro ,Jasa,Jasa sewa play station omar,PERORANGAN,,
JASA SEWA RUMAH AGUS NIMAR,"Jl. Penggilingan Baru 1, Jakarta Timur",,Jl. Penggilingan Baru 1,,,,,Jakarta Timur,,,,,Usaha Mikro ,Jasa,,PERORANGAN,,
JASA SEWA RUMAH ROSANI,"Jl. Penggilingan Baru, Jakarta Timur",,Jl. Penggilingan Baru,,,,,Jakarta Timur,,,,,Usaha Mikro ,Jasa,,PERORANGAN,,
JASA SEWA TENDA H. AHMAD,"Jl. Cip Muara Gg. Ciparai, Jakarta Timur",,Jl. Cip Muara Gg. Ciparai,,,,,Jakarta Timur,,8573879,,,Usaha Mikro ,Jasa,,PERORANGAN,,
JASA SOPIR BAJAJ SLAMET,"Jl. Mampang Prapatan Xvi, RT001/005, Jakarta Selatan",,Jl. Mampang Prapatan Xvi,001,005,,,Jakarta Selatan,,,,,Usaha Mikro ,Jasa,,PERORANGAN,,
JASA SOPIR KANCIL RUSKITO,"Jl. Pulo Mawar, Jakarta Selatan",,Jl. Pulo Mawar,,,,,Jakarta Selatan,,,,,Usaha Mikro ,Jasa,,PERORANGAN,,
JASA SOPIR TAXI AMIR,"Jl. Minang Kabau, Jakarta Selatan",,Jl. Minang Kabau,,,,,Jakarta Selatan,,,,,Usaha Mikro ,Jasa,,PERORANGAN,,
JASA SULAM PAKAIAN SURYANI,"Jl. Swadaya, Jakarta Selatan",,Jl. Swadaya,,,,,Jakarta Selatan,,085697792850,,,Usaha Mikro ,Jasa,Jasa sulam pakaian dan merangkai bunga,PERORANGAN,,
JASA SUPIR ANGKUTAN SUPRI,Gg Jangkrik,Gg Jangkrik,,,,,,Jakarta Selatan,,081385274588,,,Usaha Mikro ,Jasa,,PERORANGAN,,
JASA SUPIR BAJAJ DIDI. R,"Jl. Kemandoran Viii, Jakarta Selatan",,Jl. Kemandoran Viii,,,,,Jakarta Selatan,,,,,Usaha Mikro ,Jasa,,PERORANGAN,,
JASA SUPIR BAJAJ MAMAN,"Jl. Kemandoran Viii, Jakarta Selatan",,Jl. Kemandoran Viii,,,,,Jakarta Selatan,,,,,Usaha Mikro ,Jasa,,PERORANGAN,,
JASA SUPIR BAJAJ MUDAKIR,"Jl. Pandan Raya, Jakarta Selatan",,Jl. Pandan Raya,,,,,Jakarta Selatan,,,,,Usaha Mikro ,Jasa,,PERORANGAN,,
JASA SUPIR BAJAJ SUHARJO,"Jl. Pengadengan Barat V, Jakarta Selatan",,Jl. Pengadengan Barat V,,,,,Jakarta Selatan,,,,,Usaha Mikro ,Jasa,,PERORANGAN,,
JASA TAMBAL BAN IRSAL,"Jl. Rambai, Jakarta Selatan",,Jl. Rambai,,,,,Jakarta Selatan,,7229368,,,Usaha Mikro ,Jasa,,PERORANGAN,,
JASA TAMBAL BAN ROHADI,"Jl. Empu Sendok, Jakarta Selatan",,Jl. Empu Sendok,,,,,Jakarta Selatan,,,,,Usaha Mikro ,Jasa,,PERORANGAN,,
JASA TAMBAL BAN YADI,"Jl. Wijaya 1, Jakarta Selatan",,Jl. Wijaya 1,,,,,Jakarta Selatan,,,,,Usaha Mikro ,Jasa,,PERORANGAN,,
JASA TEKNIK BAWAHY AIR,"Jl. Iskandarsyah Raya No. 7, Jakarta Selatan",,Jl. Iskandarsyah Raya No. 7,,,,,Jakarta Selatan,,02172794403,,,Usaha Mikro ,Jasa,,PERORANGAN,,
JASA TELEKOMUNIKASI NIAH,"Jl. Srengseng Sawah No. 7, Jakarta Selatan",,Jl. Srengseng Sawah No. 7,,,,,Jakarta Selatan,,,,,Usaha Mikro ,Jasa,,PERORANGAN,,
JASA TELEKOMUNIKASI UTAMA,"Jl. Utama No. 407a, Jakarta Selatan",,Jl. Utama No. 407a,,,,,Jakarta Selatan,,,,,Usaha Mikro ,Jasa,,PERORANGAN,,
JASA TUKANG CUCI MPO YANI,"Jl. Setia Budi Karya No. 2, Jakarta Selatan",,Jl. Setia Budi Karya No. 2,,,,,Jakarta Selatan,,,,,Usaha Mikro ,Jasa,,PERORANGAN,,
JASA TUKANG PARKIR BANG CANANG,"Jl. Taman Setia Budi No. 1a, RT001/002, Jakarta Selatan",,Jl. Taman Setia Budi No. 1a,001,002,,,Jakarta Selatan,,,,,Usaha Mikro ,Jasa,,PERORANGAN,,
JASA TUKANG URUT AJAT,"Jl. Swdaya 2 Gg. Rukun No. 5, Jakarta Selatan",,Jl. Swdaya 2 Gg. Rukun No. 5,,,,,Jakarta Selatan,,,,,Usaha Mikro ,Jasa,,PERORANGAN,,
JASA URUT KARNI,"Jl. Pal Batu, Jakarta Selatan",,Jl. Pal Batu,,,,,Jakarta Selatan,,0218292143,,,Usaha Mikro ,Jasa,Jasa urut dan lulur,PERORANGAN,,
JASA URUT MAHBUB,Gg Sempit,Gg Sempit,,,,,,Jakarta Selatan,,,,,Usaha Mikro ,Jasa,,PERORANGAN,,
JASA URUT RAHMA,"Jl. Kranji No. 16 C, Jakarta Selatan",,Jl. Kranji No. 16 C,,,,,Jakarta Selatan,,081511069432,,,Usaha Mikro ,Jasa,,PERORANGAN,,
"JASA USAHA MANUNGGAL PRATAMA, PT","Jl. Boulevard Raya Kelapa Gading Square, Kelapa Gading, Jakarta Utara",,Jl. Boulevard Raya Kelapa Gading Square,,,,Kelapa Gading,Jakarta Utara,,"021 45867818, 45867819",021 45867819,,Usaha Menengah ,Jasa,Pengiriman dan pengepakan lainnya,PT,DINAS KOP. UMKM DAN PERDAGANGAN DKI JKT,21.105.600.7-043.000
JASA VERMAK ADRI,"Jl. Menteng Wadas Selatan No. 10, Jakarta Selatan",,Jl. Menteng Wadas Selatan No. 10,,,,,Jakarta Selatan,,,,,Usaha Mikro ,Jasa,Jasa vermak baju dan celana,PERORANGAN,,
JASA VERMAK KELILING KARSONO,"Jl. Pengadengan Timur Ii, Jakarta Selatan",,Jl. Pengadengan Timur Ii,,,,,Jakarta Selatan,,,,,Usaha Mikro ,Jasa,,PERORANGAN,,
"JASAPIRANTI NUSABERSAMA, PT","Jl. Haji Samali No. 32, RT004/004, Kalibata, Pancoran, Jakarta Selatan",,Jl. Haji Samali No. 32,004,004,Kalibata,Pancoran,Jakarta Selatan,,78844968,,,Usaha Menengah ,Jasa,,PT,DEP. PERINDAG:SIUP NO.12490904/IX/1996,"15,466,006,0,14"
"JASINDO DUTA LINE, PT","Plaza Kelapa Gading, Jl. Raya Boulevard Barat Rukan Blok C No. 53a, Kelapa Gading, Jakarta Utara",Plaza Kelapa Gading,Jl. Raya Boulevard Barat Rukan Blok C No. 53a,,,,Kelapa Gading,Jakarta Utara,,021 45351404,021 45351404,,Usaha Menengah ,Jasa,Konsultasi bisnis dan manajemen,PT,BKPM,02.624.354.3-043.000
"JASINDO DUTA SEGARA, PT","Plaza Kelapa Gading Blok C No. 55, Jl. Boulevard, Kelapa Gading, Jakarta Utara",Plaza Kelapa Gading Blok C No. 55,Jl. Boulevard,,,,Kelapa Gading,Jakarta Utara,,021 45851404,021 45851404,,Usaha Menengah ,Jasa,Konsultasi bisnis dan manajemen,PT,DINAS PERINDAG PROV. DKI JKT,02.504.540.2-043.000
JASMINE CELLULAR,Roxy Squere lt. II A9/23,Roxy Squere lt. II A9/23,,,,,,Jakarta Barat,,02156953576,,,Usaha Mikro ,Perdagangan,Dagang voucher dan hp,PERORANGAN,,
JASMINE KOSMETIK,Itc Cempaka Mas lt. 2 Blok H,Itc Cempaka Mas lt. 2 Blok H,,,,,,Jakarta Pusat,,42900804,,,Usaha Mikro ,Perdagangan,,PERORANGAN,,
JASMINE SALON,Gd Sarinah Podium lt. 2,Gd Sarinah Podium lt. 2,,,,,,Jakarta Pusat,,,,,Usaha Mikro ,Jasa,Jasa perawatan kecantikan,PERORANGAN,,
"JASPRIM DINAMIKA GLOBAL, PT","Jl. P Jayakarta No. 38-a, Sawah Besar, Jakarta Pusat",,Jl. P Jayakarta No. 38-a,,,,Sawah Besar,Jakarta Pusat,,6280110,,,Usaha Kecil ,Perdagangan,"(51501)perdagangan besar mesin-2, suku cadang & pe",PT,DEP.PERINDAG (SIUP) NO.4010/182451,01.877.055.2.026.000
JASRI,"Jl. Lingkungan III Teluk Gong, Jakarta Utara",,Jl. Lingkungan III Teluk Gong,,,,,Jakarta Utara,,,,,Usaha Mikro ,,Jual tas jangkauan pemasaran : lokal,,,
JASUMI,"Jl. Krekot Jaya Molek Blok Ac No. 21, Jakarta Pusat",,Jl. Krekot Jaya Molek Blok Ac No. 21,,,,,Jakarta Pusat,,0213863521,,,Usaha Mikro ,Perdagangan,Dagang suku cadang mobil,PERORANGAN,,
JATAYU BENGKEL,"Jl. Raya Bogor No, Jakarta Timur",,Jl. Raya Bogor No,,,,,Jakarta Timur,,,,,Usaha Mikro ,Jasa,Reparasi motor,PERORANGAN,,
JATI CLASIK,"Jl. Pahlawan Revolusi No. 3, Pondok Bambu, Duren Sawit, Jakarta Timur",,Jl. Pahlawan Revolusi No. 3,,,Pondok Bambu,Duren Sawit,Jakarta Timur,,08129973076,,,Usaha Mikro ,Kerajinan,,,"SUDIN KOPERASI, USAHA MIKRO KECIL DAN MENENGAH DAN",
JATI CLASIK 2,"Jl. Pahlawan Revolusi No. 3 Pondok Bambu, Duren Sawit, Jakarta Timur",,Jl. Pahlawan Revolusi No. 3 Pondok Bambu,,,,Duren Sawit,Jakarta Timur,,,,,Usaha Mikro ,Kerajinan,Handycraft dari kayu,,"SUDIN KOPERASI, USAHA MIKRO KECIL DAN MENENGAH DAN",
"JATI MAKMUR ABADI, PT","Jl. Raya Pasar Minggu Km. 17, Kalibata, Pancoran, Jakarta Selatan",,Jl. Raya Pasar Minggu Km. 17,,,Kalibata,Pancoran,Jakarta Selatan,,7971112,,,Usaha Kecil ,Perdagangan,perdagangan besar sepeda motor serta suku cadang,PT,DEP. PERINDAG:SIUP NO.04349/182451,"23,891,633,0,61"
"JATI PIRANTI SOLUSINDO, PT","Menara Jamsostek, Jl. Jend Gatot Subroto No. 38, Karet Semanggi, Setiabudi, Jakarta Selatan",Menara Jamsostek,Jl. Jend Gatot Subroto No. 38,,,Karet Semanggi,Setiabudi,Jakarta Selatan,,52962338,,,Usaha Kecil ,Perdagangan,"Perdagangan besar mesin-mesin, suku cadang dan perlengkapan",PT,DEP. PERINDAG:SIUP NO.2563,"8,324,293,0,11"
"JATI WANGI UTAMA, PT","Wisma Agro Manunggal lt. 8, Jl. Jend Sudirman No. 95, Setiabudi, Jakarta Selatan",Wisma Agro Manunggal lt. 8,Jl. Jend Sudirman No. 95,,,,Setiabudi,Jakarta Selatan,,2523838,,,Usaha Kecil ,Jasa,Konstruksi gedung industri,PT,BKPM:NO.SIUP:986/I/PMDN/90,"13,488,754,0,25"
JATIKA,"Jl. Baru, RT002/005, Halim Perdanakusuma, Makassar, Jakarta Timur",,Jl. Baru,002,005,Halim Perdanakusuma,Makassar,Jakarta Timur,,,,,Usaha Mikro ,Jasa / Produksi Lainnya,Industri pertanian /p. meubeuler,,"WALIKOTAMADYA JAKARTA TIMUR,Drs. H. KOESNAN A. HAL",
"JATISUNGKAI ESTETIKA, PT",Komp. Wijaya Graha Puri Blok C No. 5-6,Komp. Wijaya Graha Puri Blok C No. 5-6,,,,,Kebayoran Baru,Jakarta Selatan,,7200445,7269062,,Usaha Kecil ,Perdagangan,Perdagangan besar peralatan dan perlengkapan rumah,PT,"DEP. PERINDAG: SIUP, NO. 00180/1824271","13,571,278,0,19"
"JATRO OIL PLANTATION, PT","Gd. Setiabudi Atrium lt. 7 Suite 701, Jl. Hr Rasuna Said Kav. 62, Setiabudi, Jakarta Selatan",Gd. Setiabudi Atrium lt. 7 Suite 701,Jl. Hr Rasuna Said Kav. 62,,,,Setiabudi,Jakarta Selatan,,5210151,,,Usaha Menengah ,Jasa / Produksi Lainnya,Perkebunan tanaman minyak atsiri,PT,BKPM:NO.IZIN:45/II/PMDN/2008,"24,147,654,0,56"
"JAVA AUDIO, UD","Jl. Sunter Hijau Raya Sb.I/1, RT017/008, Tanjung Priuk, Jakarta Utara",,Jl. Sunter Hijau Raya Sb.I/1,017,008,,Tanjung Priuk,Jakarta Utara,,,,,Usaha Kecil ,Perdagangan,Perdagangan eceran barang elektronik,PERORANGAN,SUDIN PERINDAG NO.343/1.824.271,"07,592,200,5-042,000"
JAVA DINI ART,"Jl. H. Nawi Dalam III No. 21, Kebayoran Baru, Jakarta Selatan",,Jl. H. Nawi Dalam III No. 21,,,,Kebayoran Baru,Jakarta Selatan,,(021) 7651209,,,,Perdagangan,,PT,,
"JAVA ONLINE, PT","Jl. Rancamala I No. 20, RT003/002, Tebet, Jakarta Selatan",,Jl. Rancamala I No. 20,003,002,,Tebet,Jakarta Selatan,,83790095,,,Usaha Kecil ,Perdagangan,"Perdagangan besar mesin-mesin, suku cadang dan perlengkapan",PT,DEP.PERINDAG:SIUP NO.1047/0904/PM/IX/02,"21,462,361,0,35"
