No.,Nama & Alamat,Kegiatan Usaha,Badan Hukum
4147,"*INDUSTRI JAMU TARI*
Jl mangga besar xiii jl b9

Jakarta Pusat -
Ph: / Fax: / Hp:","Usaha Mikro (Jasa / Produksi Lainnya) 
(binary/image)","PERORANGAN
Siup:
NPWP:"
4148,"*INDUSTRI JOK UJANG*
Jl duri bangkit no 4

Jakarta Barat -
Ph: / Fax: / Hp:","Usaha Mikro (Jasa / Produksi Lainnya) 
Industri jok motor","PERORANGAN
Siup:
NPWP:"
4149,"*INDUSTRI KACANG GILINGAN MUHAMMAD*
Jl lagter gg 111 c 11 no 16

Jakarta Utara -
Ph: / Fax: / Hp:","Usaha Mikro (Jasa) 
(binary/image)","PERORANGAN
Siup:
NPWP:"
4150,"*INDUSTRI KAIN LAP ONA AH*
Jl gg mangga

Jakarta Barat -
Ph: / Fax: / Hp:","Usaha Mikro (Jasa / Produksi Lainnya) 
(binary/image)","PERORANGAN
Siup:
NPWP:"
4151,"*INDUSTRI KALENG KERUPUK KOSTIMAN*
Jl karya bakti

Jakarta Barat -
Ph:0215864737 / Fax: / Hp:","Usaha Mikro (Jasa) 
(binary/image)","PERORANGAN
Siup:
NPWP:"
4152,"*INDUSTRI KALENG TRAFO*
Jl e7 blok b4 no 27 a

Jakarta Utara -
Ph: / Fax: / Hp:","Usaha Mikro (Jasa / Produksi Lainnya) 
Industri kaleng trafo","PERORANGAN
Siup:
NPWP:"
4153,"*INDUSTRI KALIGRAFI DARI KAYU*  
Jl rawa binong

Jakarta Timur -
Ph: / Fax: / Hp:","Usaha Mikro (Jasa / Produksi Lainnya) 
(binary/image)","PERORANGAN
Siup:
NPWP:"
4154,"*INDUSTRI KANTONG ACHYAR BACHTIAR*
Gang gadingv no 15

Jakarta Pusat -
Ph: / Fax: / Hp:","Usaha Mikro (Jasa / Produksi Lainnya) 
(binary/image)","PERORANGAN
Siup:
NPWP:"
4155,"*INDUSTRI KANTONG PLASTIK TJONG KHIT-HIN*
Jl krendang pasti no 12

Jakarta Barat -
Ph: / Fax: / Hp:","Usaha Mikro (Jasa / Produksi Lainnya) 
(binary/image)","PERORANGAN
Siup:
NPWP:"
4156,"*INDUSTRI KAOS KAKI YUSMAN*
Kp jembatan

Jakarta Timur -
Ph: / Fax: / Hp:","Usaha Mikro (Jasa / Produksi Lainnya) 
(binary/image)","PERORANGAN
Siup:
NPWP:"
4157,"*INDUSTRI KAWAT JAHIT RIKI*
Jl sumur bor raya no 31

Jakarta Barat -
Ph: / Fax: / Hp:","Usaha Mikro (Jasa / Produksi Lainnya) 
Industri keperluan rumah tangga","PERORANGAN
Siup:
NPWP:"
4158,"*INDUSTRI KAYU JUHRI*
Jl rosela iv blok cc no 3

Jakarta Barat -
Ph: / Fax: / Hp:","Usaha Mikro (Jasa / Produksi Lainnya) 
(binary/image)","PERORANGAN
Siup:
NPWP:"
4159,"*INDUSTRI KAYU JUNAEDI*
Jl dwi warna gg 4

Jakarta Pusat -
Ph:0216290315 / Fax: / Hp:","Usaha Mikro (Jasa / Produksi Lainnya) 
Membuat kusen dan pintu","PERORANGAN
Siup:
NPWP:"
4160,"*INDUSTRI KAYU TRISNA JATI MAS*
Jl bojong indah 3 no 8

Jakarta Timur -
Ph: / Fax: / Hp:","Usaha Mikro (Jasa / Produksi Lainnya) 
(binary/image)","PERORANGAN
Siup:
NPWP:"
4161,"*INDUSTRI KEMASAN DAN KONTAIR KARTON*
Jl garuda gang sawo

Jakarta Pusat -
Ph: / Fax: / Hp:","Usaha Mikro (Jasa / Produksi Lainnya) 
(binary/image)","PERORANGAN
Siup:
NPWP:"
4162,"*INDUSTRI KEMASAN PLASTIK OCIP*
Jl. walungan pulo

Jakarta Barat -
Ph: / Fax: / Hp:","Usaha Mikro (Jasa / Produksi Lainnya) 
Membuat kemasan dalam plastik","PERORANGAN
Siup:
NPWP:"
4163,"*INDUSTRI KERAJINAN MANIK SUDIANA*
Jl kalibaru barat no 13

Jakarta Utara -
Ph: / Fax: / Hp:","Usaha Mikro (Jasa / Produksi Lainnya) 
(binary/image)","PERORANGAN
Siup:
NPWP:"
4164,"*INDUSTRI KERAJINAN TANGAN HARSON*
Jl cilincing lama no 12

Jakarta Utara -
Ph:4414712 / Fax: / Hp:","Usaha Mikro (Jasa / Produksi Lainnya) 
(binary/image)","PERORANGAN
Siup:
NPWP:"
4165,"*INDUSTRI KERAJINAN TANGAN HUSIN*
Jl bojong komplek

Jakarta Barat -
Ph: / Fax: / Hp:","Usaha Mikro (Jasa / Produksi Lainnya) 
(binary/image)","PERORANGAN
Siup:
NPWP:"
4166,"*INDUSTRI KERAJINAN TANGAN TRI*
Jl.kesatrian ix blok d no. 9

Jakarta Timur -
Ph: / Fax: / Hp:","Usaha Mikro (Jasa / Produksi Lainnya) 
Membuat kerajinan tangan dari kertas","PERORANGAN
Siup:
NPWP:"
4167,"*INDUSTRI KERIPIK PISANG YANTO*
Kmp kft c3 no 1

Jakarta Barat -
Ph: / Fax: / Hp:","Usaha Mikro (Jasa / Produksi Lainnya) 
(binary/image)","PERORANGAN
Siup:
NPWP:"
4168,"*INDUSTRI KERIPIK SUTINEM*
Jl kp pulo gg asem no 113

Jakarta Barat -
Ph: / Fax: / Hp:","Usaha Mikro (Jasa / Produksi Lainnya) 
(binary/image)","PERORANGAN
Siup:
NPWP:"
4169,"*INDUSTRI KERTAS KANTONG ABDUL WAFI*
Jl cempaka putih utara

Jakarta Pusat -
Ph: / Fax: / Hp:","Usaha Mikro (Jasa / Produksi Lainnya) 
(binary/image)","PERORANGAN
Siup:
NPWP:"
4170,"*INDUSTRI KERTAS KANTONG TOYIB*
Jl ks tubun gg harland no. 62

Jakarta Barat -
Ph: / Fax: / Hp:","Usaha Mikro (Jasa / Produksi Lainnya) 
(binary/image)","PERORANGAN
Siup:
NPWP:"
4171,"*INDUSTRI KERTAS MEKAR JAYA*
Jl cpb xxi gg iv no 8

Jakarta Pusat -
Ph:4258340 / Fax: / Hp:","Usaha Mikro (Jasa / Produksi Lainnya) 
(binary/image)","PERORANGAN
Siup:
NPWP:"
4172,"*INDUSTRI KERUPUK SARI GURIH*
Jl cempaka putih barat xix no 8

Jakarta Pusat -
Ph: / Fax: / Hp:","Usaha Mikro (Jasa / Produksi Lainnya) 
(binary/image)","PERORANGAN
Siup:
NPWP:"
4173,"*INDUSTRI KERUPUK ANTO*
Jl flamboyan no 71

Jakarta Barat -
Ph: / Fax: / Hp:","Usaha Mikro (Jasa / Produksi Lainnya) 
(binary/image)","PERORANGAN
Siup:
NPWP:"
4174,"*INDUSTRI KERUPUK GENDAR MBAK PAINEM*
Jl gang jamblang no 199

Jakarta Barat -
Ph: / Fax: / Hp:","Usaha Mikro (Jasa / Produksi Lainnya) 
(binary/image)","PERORANGAN
Siup:
NPWP:"
4175,"*INDUSTRI KERUPUK GENDAR ROKAYAH*
Jl cemara ujung gg 8 bl 1

Jakarta Utara -
Ph: / Fax: / Hp:","Usaha Mikro (Jasa / Produksi Lainnya) 
(binary/image)","PERORANGAN
Siup:
NPWP:"
4176,"*INDUSTRI KERUPUK GENDAR SRIANTO*
Kp pisangan no 139

Jakarta Timur -
Ph:98187480 / Fax: / Hp:","Usaha Mikro (Jasa / Produksi Lainnya) 
(binary/image)","PERORANGAN
Siup:
NPWP:"
4177,"*INDUSTRI KERUPUK H YUNUS*
Jl minang kabau dalam no 10

Jakarta Selatan -
Ph:8280025 / Fax: / Hp:","Usaha Mikro (Jasa / Produksi Lainnya) 
(binary/image)","PERORANGAN
Siup:
NPWP:"
4178,"*INDUSTRI KETUPAT TARMONO*
Jl kebagusan raya

Jakarta Selatan -
Ph:98201415 / Fax: / Hp:","Usaha Mikro (Jasa) 
(binary/image)","PERORANGAN
Siup:
NPWP:"
4179,"*INDUSTRI KNALPOT IMAM*
Jl rc veteran

Jakarta Selatan -
Ph:085880326317 / Fax: / Hp:","Usaha Mikro (Jasa / Produksi Lainnya) 
Membuat knalpot mobil dan motor","PERORANGAN
Siup:
NPWP:"
4180,"*INDUSTRI KOMPONEN HELM NURDIANTO*
Jl gapura

Jakarta Timur -
Ph: / Fax: / Hp:","Usaha Mikro (Jasa / Produksi Lainnya) 
(binary/image)","PERORANGAN
Siup:
NPWP:"
4181,"*INDUSTRI KOMPONEN LAMPU LISTRIK UNTUNG*
Komp harmonimas blok e-15

Jakarta Utara -
Ph: / Fax: / Hp:","Usaha Mikro (Jasa / Produksi Lainnya) 
(binary/image)","PERORANGAN
Siup:
NPWP:"
4182,"*INDUSTRI KOMPOR NURASIT*
Jl kembang vii no 15

Jakarta Pusat -
Ph:31905728 / Fax: / Hp:","Usaha Mikro (Jasa / Produksi Lainnya) 
(binary/image)","PERORANGAN
Siup:
NPWP:"
4183,"*INDUSTRI KONVEKSI*
Jl krendang petak seng no 7

Jakarta Barat -
Ph:6314339 / Fax: / Hp:","Usaha Mikro (Jasa / Produksi Lainnya) 
Industri pakaian jadi","PERORANGAN
Siup:
NPWP:"
4184,"*INDUSTRI KONVEKSI YAHYA*
Jl. dd 2 no 14

Jakarta Barat -
Ph: / Fax: / Hp:","Usaha Mikro (Jasa / Produksi Lainnya) 
(binary/image)","PERORANGAN
Siup:
NPWP:"
4185,"*INDUSTRI KONVEKSI ACONG*
Jl. as- shirot

Jakarta Barat -
Ph: / Fax: / Hp:","Usaha Mikro (Jasa / Produksi Lainnya) 
(binary/image)","PERORANGAN
Siup:
NPWP:"
4186,"*INDUSTRI KONVEKSI BAJU TJHAI WUINEN*
Jl satria ii no 24 a

Jakarta Utara -
Ph: / Fax: / Hp:","Usaha Mikro (Home Industri) 
(binary/image)","PERORANGAN
Siup:
NPWP:"
4187,"*INDUSTRI KONVEKSI BUN DJIE FUNG*
Jl krendang gang pasti no 20

Jakarta Barat -
Ph:53853237 / Fax: / Hp:","Usaha Mikro (Jasa / Produksi Lainnya) 
(binary/image)","PERORANGAN
Siup:
NPWP:"
4188,"*INDUSTRI KONVEKSI FRENKY BUDIAN*
Jl kampung krendang pulo

Jakarta Barat -
Ph: / Fax: / Hp:","Usaha Mikro (Home Industri) 
(binary/image)","PERORANGAN
Siup:
NPWP:"
4189,"*INDUSTRI KONVEKSI H AMIR*
Jl ff kampung baru no 62

Jakarta Barat -
Ph: / Fax: / Hp:","Usaha Mikro (Home Industri) 
(binary/image)","PERORANGAN
Siup:
NPWP:"
4190,"*INDUSTRI KONVEKSI HAERULLAH*
Jl. kpbd

Jakarta Barat -
Ph: / Fax: / Hp:","Usaha Mikro (Home Industri) 
(binary/image)","PERORANGAN
Siup:
NPWP:"
4191,"*INDUSTRI KONVEKSI HONG KIE*
Jl pademangan 4 gg 15 no 16

Jakarta Utara -
Ph:6400705 / Fax: / Hp:","Usaha Mikro (Jasa) 
(binary/image)","PERORANGAN
Siup:
NPWP:"
4192,"*INDUSTRI KONVEKSI JONI GUNAWAN*
Jl duri utama gang pasti no 33

Jakarta Barat -
Ph: / Fax: / Hp:","Usaha Mikro (Jasa / Produksi Lainnya) 
(binary/image)","PERORANGAN
Siup:
NPWP:"
4193,"*INDUSTRI KONVEKSI KIROM*
Jl. h abdulah

Jakarta Barat -
Ph: / Fax: / Hp:","Usaha Mikro (Jasa) 
(binary/image)","PERORANGAN
Siup:
NPWP:"
4194,"*INDUSTRI KONVEKSI PAKAIAN JADI TOYIB*
Jl. balai rakyat iii

Jakarta Timur -
Ph: / Fax: / Hp:","Usaha Mikro (Jasa) 
(binary/image)","PERORANGAN
Siup:
NPWP:"
4195,"*INDUSTRI KONVEKSI PHUNG MIAU SAN*
Jl krendang raya no 15f

Jakarta Barat -
Ph:63866695 / Fax: / Hp:","Usaha Mikro (Jasa) 
Jasa menjahit upah makloon (konveksi)","PERORANGAN
Siup:
NPWP:"
4196,"*INDUSTRI KONVEKSI SALMAN*
Jl mesjid nurul yaqin

Jakarta Selatan -
Ph: / Fax: / Hp:","Usaha Mikro (Jasa / Produksi Lainnya) 
(binary/image)","PERORANGAN
Siup:
NPWP:"
4197,"*INDUSTRI KONVEKSI SARMLI*
Jl ff no 67

Jakarta Barat -
Ph: / Fax: / Hp:","Usaha Mikro (Home Industri) 
(binary/image)","PERORANGAN
Siup:
NPWP:"
4198,"*INDUSTRI KONVEKSI SUTAM*
Jl. sulaiman gg amal iv

Jakarta Barat -
Ph: / Fax: / Hp:","Usaha Mikro (Jasa / Produksi Lainnya) 
(binary/image)","PERORANGAN
Siup:
NPWP:"
4199,"*INDUSTRI KONVEKSI UDIN*
Jl.inspeksi kali grogol 2

Jakarta Barat -
Ph: / Fax: / Hp:","Usaha Mikro (Jasa) 
Koveksi pakaian wanita","PERORANGAN
Siup:
NPWP:"
4200,"*INDUSTRI KONVEKSI UVENTRI*
Jl kampung baru 3

Jakarta Selatan -
Ph:08128331540 / Fax: / Hp:","Usaha Mikro (Jasa / Produksi Lainnya) 
Membuat celana anak dan dewasa","PERORANGAN
Siup:
NPWP:"
4201,"*INDUSTRI KONVEKSI ZULKIFLI*
Jl serdang baru no 38

Jakarta Pusat -
Ph: / Fax: / Hp:","Usaha Mikro (Home Industri) 
(binary/image)","PERORANGAN
Siup:
NPWP:"
4202,"*INDUSTRI KRUPUK ENDANG*
Jl 20 desember

Jakarta Barat -
Ph: / Fax: / Hp:","Usaha Mikro (Jasa) 
(binary/image)","PERORANGAN
Siup:
NPWP:"
4203,"*INDUSTRI KRUPUK MELY*
Jl duku utara no 19

Jakarta Utara -
Ph: / Fax: / Hp:","Usaha Mikro (Jasa / Produksi Lainnya) 
Membuat/menjual krupuk","PERORANGAN
Siup:
NPWP:"
4204,"*INDUSTRI KRUPUK TOYIB*
Jl merpati no 26

Jakarta Timur -
Ph: / Fax: / Hp:","Usaha Mikro (Jasa / Produksi Lainnya) 
(binary/image)","PERORANGAN
Siup:
NPWP:"
4205,"*INDUSTRI KU NARIYATI*
Jl thalib 2/ 5

Jakarta Barat -
Ph: / Fax: / Hp:","Usaha Mikro (Jasa / Produksi Lainnya) 
(binary/image)","PERORANGAN
Siup:
NPWP:"
4206,"*INDUSTRI KUE ABDUL GOFUR*
Jl swadaya 3 no 8

Jakarta Timur -
Ph:8515958 / Fax: / Hp:","Usaha Mikro (Jasa / Produksi Lainnya) 
(binary/image)","PERORANGAN
Siup:
NPWP:"
4207,"*INDUSTRI KUE ALUN*
Jl jomas no 7

Jakarta Barat -
Ph:081310347532 / Fax: / Hp:","Usaha Mikro (Jasa / Produksi Lainnya) 
Membuat kue cakwe","PERORANGAN
Siup:
NPWP:"
4208,"*INDUSTRI KUE BASAH ANA*
Gg latif batu alam jaya

Jakarta Timur -
Ph: / Fax: / Hp:","Usaha Mikro (Jasa) 
(binary/image)","PERORANGAN
Siup:
NPWP:"
4209,"*INDUSTRI KUE BASAH BU EPON*
Jl menteng jaya

Jakarta Pusat -
Ph:3925132 / Fax: / Hp:","Usaha Mikro (Jasa) 
(binary/image)","PERORANGAN
Siup:
NPWP:"
4210,"*INDUSTRI KUE BASAH ESTER*
Jl gg mandor 5 no 12b

Jakarta Pusat -
Ph: / Fax: / Hp:","Usaha Mikro (Jasa) 
Usaha pembuatan kue basah","PERORANGAN
Siup:
NPWP:"
4211,"*INDUSTRI KUE BASAH HJ NANI*
Jl t cipinang muara

Jakarta Timur -
Ph:0218571663 / Fax: / Hp:","Usaha Mikro (Jasa / Produksi Lainnya) 
(binary/image)","PERORANGAN
Siup:
NPWP:"
4212,"*INDUSTRI KUE BASAH LASIH*
Jl pisangan lama iii

Jakarta Timur -
Ph:4897417 / Fax: / Hp:","Usaha Mikro (Jasa / Produksi Lainnya) 
(binary/image)","PERORANGAN
Siup:
NPWP:"
4213,"*INDUSTRI KUE BASAH MARYAMAH*
Jl kramat pulo dalam gg 21 no 57h

Jakarta Pusat -
Ph: / Fax: / Hp:","Usaha Mikro (Jasa / Produksi Lainnya) 
(binary/image)","PERORANGAN
Siup:
NPWP:"
4214,"*INDUSTRI KUE BASAH PARTI*
Jl ancol selatan no

Jakarta Utara -
Ph: / Fax: / Hp:","Usaha Mikro (Jasa / Produksi Lainnya) 
(binary/image)","PERORANGAN
Siup:
NPWP:"
4215,"*INDUSTRI KUE BASAH PATMAWATI*
Jl tegalan if no 226

Jakarta Timur -
Ph: / Fax: / Hp:","Usaha Mikro (Jasa / Produksi Lainnya) 
(binary/image)","PERORANGAN
Siup:
NPWP:"
4216,"*INDUSTRI KUE BASAH ROKHAYAH*
Jl kp baru i no 10

Jakarta Timur -
Ph: / Fax: / Hp:","Usaha Mikro (Jasa / Produksi Lainnya) 
(binary/image)","PERORANGAN
Siup:
NPWP:"
4217,"*INDUSTRI KUE BASAH SUMIYEM*  
Jl tegal parang selatan 3

Jakarta Selatan -
Ph: / Fax: / Hp:","Usaha Mikro (Jasa / Produksi Lainnya) 
(binary/image)","PERORANGAN
Siup:
NPWP:"
4218,"*INDUSTRI KUE BASAH SUTI*
Gg belimbing

Jakarta Selatan -
Ph: / Fax: / Hp:","Usaha Mikro (Jasa / Produksi Lainnya) 
(binary/image)","PERORANGAN
Siup:
NPWP:"
4219,"*INDUSTRI KUE BASAH TRADISIONAL HAYATIH*
Jl madrasah i

Jakarta Barat -
Ph: / Fax: / Hp:","Usaha Mikro (Jasa / Produksi Lainnya) 
(binary/image)","PERORANGAN
Siup:
NPWP:"
4220,"*INDUSTRI KUE CITRA RASA*
Jldalang arjuna no 6

Jakarta Timur -
Ph:8447113 / Fax: / Hp:","Usaha Mikro (Jasa / Produksi Lainnya) 
(binary/image)","PERORANGAN
Siup:
NPWP:"
4221,"*INDUSTRI KUE DAN KACANG GORENG YANI*
Jl amal ii no 26

Jakarta Timur -
Ph: / Fax: / Hp:","Usaha Mikro (Jasa / Produksi Lainnya) 
(binary/image)","PERORANGAN
Siup:
NPWP:"
4222,"*INDUSTRI KUE DONAT ALIONG*
Jl kali baru timur 3 a

Jakarta Utara -
Ph: / Fax: / Hp:","Usaha Mikro (Jasa / Produksi Lainnya) 
(binary/image)","PERORANGAN
Siup:
NPWP:"
4223,"*INDUSTRI KUE DONAT DAN PASTEL SUHERMAN*
Jl amd

Jakarta Barat -
Ph:085214835290 / Fax: / Hp:","Usaha Mikro (Jasa / Produksi Lainnya) 
(binary/image)","PERORANGAN
Siup:
NPWP:"
4224,"*INDUSTRI KUE DUMIATY*
Jl narada no 4

Jakarta Timur -
Ph: / Fax: / Hp:","Usaha Mikro (Jasa / Produksi Lainnya) 
(binary/image)","PERORANGAN
Siup:
NPWP:"
4225,"*INDUSTRI KUE GIARTI*
Jl. sulaiman gg amal iv

Jakarta Barat -
Ph: / Fax: / Hp:","Usaha Mikro (Jasa / Produksi Lainnya) 
Membuat kue tradisional","PERORANGAN
Siup:
NPWP:"
4226,"*INDUSTRI KUE ICAH*
Jl pepaya iii no 28

Jakarta Utara -
Ph: / Fax: / Hp:","Usaha Mikro (Jasa) 
Usaha pembuatan kue kering","PERORANGAN
Siup:
NPWP:"
4227,"*INDUSTRI KUE JADI SURIJAH*
Jl cipinang timur

Jakarta Timur -
Ph: / Fax: / Hp:","Usaha Mikro (Jasa / Produksi Lainnya) 
(binary/image)","PERORANGAN
Siup:
NPWP:"
4228,"*INDUSTRI KUE JOHANES*
Jl permata 16 blok pm 1

Jakarta Utara -
Ph:6632236 / Fax: / Hp:","Usaha Mikro (Jasa / Produksi Lainnya) 
(binary/image)","PERORANGAN
Siup:
NPWP:"
4229,"*INDUSTRI KUE JULI*
Jl utan kayu gg kramat asem no 26

Jakarta Timur -
Ph: / Fax: / Hp:","Usaha Mikro (Jasa / Produksi Lainnya) 
(binary/image)","PERORANGAN
Siup:
NPWP:"
4230,"*INDUSTRI KUE JULITA*
Jl duri bangkit persima i

Jakarta Barat -
Ph: / Fax: / Hp:","Usaha Mikro (Jasa / Produksi Lainnya) 
(binary/image)","PERORANGAN
Siup:
NPWP:"
4231,"*INDUSTRI KUE KARTI*
Jl lapangan bola i gg cemara

Jakarta Barat -
Ph: / Fax: / Hp:","Usaha Mikro (Jasa / Produksi Lainnya) 
(binary/image)","PERORANGAN
Siup:
NPWP:"
4232,"*INDUSTRI KUE KERING ROSALINA*
Jl duku utara no 13

Jakarta Utara -
Ph: / Fax: / Hp:","Usaha Mikro (Jasa / Produksi Lainnya) 
(binary/image)","PERORANGAN
Siup:
NPWP:"
4233,"*INDUSTRI KUE KREMES SARYATI*
Jl a gg ah

Jakarta Pusat -
Ph: / Fax: / Hp:","Usaha Mikro (Jasa / Produksi Lainnya) 
(binary/image)","PERORANGAN
Siup:
NPWP:"
4234,"*INDUSTRI KUE LASTRI*
Jl margamulya no 52

Jakarta Timur -
Ph: / Fax: / Hp:","Usaha Mikro (Jasa / Produksi Lainnya) 
(binary/image)","PERORANGAN
Siup:
NPWP:"
4235,"*INDUSTRI KUE MUHAIMIN*
Jl tipar selatan

Jakarta Utara -
Ph: / Fax: / Hp:","Usaha Mikro (Jasa / Produksi Lainnya) 
(binary/image)","PERORANGAN
Siup:
NPWP:"
4236,"*INDUSTRI KUE NURAENI*
Jl manggarai utara ii no 139

Jakarta Selatan -
Ph: / Fax: / Hp:","Usaha Mikro (Jasa / Produksi Lainnya) 
Membuat kue gemblong, cimol","PERORANGAN
Siup:
NPWP:"
4237,"*INDUSTRI KUE OLIVE*
Jl sunter indah blok ii

Jakarta Utara -
Ph: / Fax: / Hp:","Usaha Mikro (Jasa / Produksi Lainnya) 
(binary/image)","PERORANGAN
Siup:
NPWP:"
4238,"*INDUSTRI KUE RAHAYU*
Jl cipinang lontar

Jakarta Timur -
Ph: / Fax: / Hp:","Usaha Mikro (Jasa / Produksi Lainnya) 
(binary/image)","PERORANGAN
Siup:
NPWP:"
4239,"*INDUSTRI KUE SAMIDIN*
Jl kampung rawa sawah

Jakarta Pusat -
Ph: / Fax: / Hp:","Usaha Mikro (Jasa / Produksi Lainnya) 
(binary/image)","PERORANGAN
Siup:
NPWP:"
4240,"*INDUSTRI KUE SUKARNO*
Jl rumbia 3 no 21c

Jakarta Utara -
Ph:0214374975 / Fax: / Hp:","Usaha Mikro (Jasa) 
(binary/image)","PERORANGAN
Siup:
NPWP:"
4241,"*INDUSTRI KUE SUMANTI*
Jl bojong raya no 61

Jakarta Barat -
Ph: / Fax: / Hp:","Usaha Mikro (Jasa / Produksi Lainnya) 
(binary/image)","PERORANGAN
Siup:
NPWP:"
4242,"*INDUSTRI KUE TONI*
Jl bangau vi

Jakarta Pusat -
Ph: / Fax: / Hp:","Usaha Mikro (Jasa / Produksi Lainnya) 
(binary/image)","PERORANGAN
Siup:
NPWP:"
4243,"*INDUSTRI KUE WARIYAH*
Jl krukut pasar 3

Jakarta Barat -
Ph: / Fax: / Hp:","Usaha Mikro (Jasa / Produksi Lainnya) 
(binary/image)","PERORANGAN
Siup:
NPWP:"
4244,"*INDUSTRI KUSEN AGUNG MAKMUR*
Jl percetakan negara 2

Jakarta Pusat -
Ph: / Fax: / Hp:","Usaha Mikro (Jasa / Produksi Lainnya) 
(binary/image)","PERORANGAN
Siup:
NPWP:"
4245,"*INDUSTRI KUSEN AMIR*
Jl kapuk raya

Jakarta Barat -
Ph: / Fax: / Hp:","Usaha Mikro (Jasa / Produksi Lainnya) 
(binary/image)","PERORANGAN
Siup:
NPWP:"
4246,"*INDUSTRI KUSEN ANWAR*
Jl ngurah rai no 8

Jakarta Timur -
Ph: / Fax: / Hp:","Usaha Mikro (Jasa / Produksi Lainnya) 
(binary/image)","PERORANGAN
Siup:
NPWP:"
4247,"*INDUSTRI KUSEN BAHRUDIN*
Kampung gaga

Jakarta Barat -
Ph:5448778 / Fax: / Hp:","Usaha Mikro (Jasa / Produksi Lainnya) 
(binary/image)","PERORANGAN
Siup:
NPWP:"
4248,"*INDUSTRI KUSEN JAJANG*
Jl raya condet

Jakarta Timur -
Ph: / Fax: / Hp:","Usaha Mikro (Jasa / Produksi Lainnya) 
(binary/image)","PERORANGAN
Siup:
NPWP:"
4249,"*INDUSTRI KUSEN MULYADI*
Jl setu cipayung

Jakarta Timur -
Ph: / Fax: / Hp:","Usaha Mikro (Jasa / Produksi Lainnya) 
(binary/image)","PERORANGAN
Siup:
NPWP:"
4250,"*INDUSTRI KUSEN PINTU EDI MULYADI*
Jl raya tengah

Jakarta Timur -
Ph:93639348 / Fax: / Hp:","Usaha Mikro (Jasa / Produksi Lainnya) 
(binary/image)","PERORANGAN
Siup:
NPWP:"
4251,"*INDUSTRI KUSEN ROHMAN*
Jl kesadaran iv no 10

Jakarta Timur -
Ph: / Fax: / Hp:","Usaha Mikro (Jasa / Produksi Lainnya) 
(binary/image)","PERORANGAN
Siup:
NPWP:"
4252,"*INDUSTRI KUSEN ROSAND*
Jl bulak duku

Jakarta Timur -
Ph: / Fax: / Hp:","Usaha Mikro (Jasa) 
(binary/image)","PERORANGAN
Siup:
NPWP:"
4253,"*INDUSTRI LAP TANGAN ALFIAH*
Jl tipar timur no 21

Jakarta Utara -
Ph: / Fax: / Hp:","Usaha Mikro (Jasa / Produksi Lainnya) 
(binary/image)","PERORANGAN
Siup:
NPWP:"
4254,"*INDUSTRI LAS KARBIT HERMAN*
Kampung alas tua

Jakarta Barat -
Ph: / Fax: / Hp:","Usaha Mikro (Jasa) 
(binary/image)","PERORANGAN
Siup:
NPWP:"
4255,"*INDUSTRI LAS LISTRIK DUTA KARYA IDOLA*
Jl basuki rahmat no 59

Jakarta Timur -
Ph:8606015 / Fax: / Hp:","Usaha Mikro (Jasa / Produksi Lainnya) 
(binary/image)","PERORANGAN
Siup:
NPWP:"
4256,"*INDUSTRI LEMARI AGUS*
Jl bojong indah no 37

Jakarta Timur -
Ph: / Fax: / Hp:","Usaha Mikro (Jasa) 
(binary/image)","PERORANGAN
Siup:
NPWP:"
4257,"*INDUSTRI LEMARI ANENG*
Jl ekonomi raya no 20

Jakarta Timur -
Ph: / Fax: / Hp:","Usaha Mikro (Jasa / Produksi Lainnya) 
(binary/image)","PERORANGAN
Siup:
NPWP:"
4258,"*INDUSTRI LEMARI ASLI*
Jl kelurahan 4 no 46

Jakarta Timur -
Ph:0813114818878 / Fax: / Hp:","Usaha Mikro (Jasa / Produksi Lainnya) 
(binary/image)","PERORANGAN
Siup:
NPWP:"
4259,"*INDUSTRI LEMARI HERMAN*
Jl bojong indah no 40

Jakarta Timur -
Ph: / Fax: / Hp:","Usaha Mikro (Jasa / Produksi Lainnya) 
(binary/image)","PERORANGAN
Siup:
NPWP:"
4260,"*INDUSTRI LEMARI KAYU LILI*
Jl menteng jaya

Jakarta Pusat -
Ph: / Fax: / Hp:","Usaha Mikro (Jasa / Produksi Lainnya) 
Membuat lemari kayu dan jok","PERORANGAN
Siup:
NPWP:"
4261,"*INDUSTRI LEMARI KHOLID*  
Jl rawa girang p kambing

Jakarta Timur -
Ph: / Fax: / Hp:","Usaha Mikro (Jasa / Produksi Lainnya) 
(binary/image)","PERORANGAN
Siup:
NPWP:"
4262,"*INDUSTRI LEMARI UMAR*
Jl h marjuki kampung jembatan no 60

Jakarta Timur -
Ph: / Fax: / Hp:","Usaha Mikro (Jasa / Produksi Lainnya) 
(binary/image)","PERORANGAN
Siup:
NPWP:"
4263,"*INDUSTRI LIPS GIPSUM MAHMUD*
Jl raya kembangan

Jakarta Barat -
Ph: / Fax: / Hp:","Usaha Mikro (Jasa / Produksi Lainnya) 
(binary/image)","PERORANGAN
Siup:
NPWP:"
4264,"*INDUSTRI MAKANAN KUE SUPANGAT*
Jl menteng jaya

Jakarta Pusat -
Ph: / Fax: / Hp:","Usaha Mikro (Jasa / Produksi Lainnya) 
(binary/image)","PERORANGAN
Siup:
NPWP:"
