UrusanPemerintahan|Organisasi|Program|SubProgram|PendapatanBelanja|Tipe|SubTipe|Uraian|Jumlah
1.08|021|14|001|5|2|2|BELANJA BARANG DAN JASA|602.501.675
1.08|021|14|001|5|2|3|BELANJA MODAL|90.498.100
1.08|021|14|||||Program Peningkatan dan Pengelolaan Kantor|
1.08|021|14|002||||Penyediaan Jasa TALI dan IPAL (12 Bulan)|
1.08|021|14|002|5|2||BELANJA LANGSUNG|546.937.920
1.08|021|14|002|5|2|2|BELANJA BARANG DAN JASA|546.937.920
1.08|021|16|||||Program Pengelolaan Kendaraan Dinas|
1.08|021|16|001||||Penyediaan BBM dan Pemeliharaan Kendaraan Dinas Operasional Kantor|
1.08|021|16|001|5|2||BELANJA LANGSUNG|5.245.648.350
1.08|021|16|001|5|2|2|BELANJA BARANG DAN JASA|5.245.648.350
1.08|021|16|||||Program Pengelolaan Kendaraan Dinas|
1.08|021|16|002||||Pengadaan Ban Luar Kendaraan Dinas Operasional Khusus|
1.08|021|16|002|5|2||BELANJA LANGSUNG|136.817.967
1.08|021|16|002|5|2|2|BELANJA BARANG DAN JASA|136.817.967
1.08|021|16|||||Program Pengelolaan Kendaraan Dinas|
1.08|021|16|003||||Pengadaan Sepeda Motor Operasional Khusus Sudin Pertamanan Jakarta Pusat|
1.08|021|16|003|5|2||BELANJA LANGSUNG|127.050.000
1.08|021|16|003|5|2|3|BELANJA MODAL|127.050.000
1.08|021|16|||||Program Pengelolaan Kendaraan Dinas|
1.08|021|16|004||||Pengadaan Kendaraan Operasional Khusus (Tangki Air)|
1.08|021|16|004|5|2||BELANJA LANGSUNG|1.309.896.000
1.08|021|16|004|5|2|3|BELANJA MODAL|1.309.896.000
1.08|022|00|000|5|||BELANJA DAERAH|
1.08|022|00|000|5|2||BELANJA LANGSUNG|104.204.575.077
1.08|022|01|||||Program Pengendalian Pencemaran dan Perusakan Lingkungan Hidup|
1.08|022|01|001||||Penyelenggaraan Operasional Kantor Sudin Pertamanan Jakarta Utara|
1.08|022|01|001|5|2||BELANJA LANGSUNG|589.998.876
1.08|022|01|001|5|2|2|BELANJA BARANG DAN JASA|571.078.876
1.08|022|01|001|5|2|3|BELANJA MODAL|18.920.000
1.08|022|01|||||Program Pengendalian Pencemaran dan Perusakan Lingkungan Hidup|
1.08|022|01|002||||Penyediaan Jasa TALI dan IPAL (12 Bulan)|
1.08|022|01|002|5|2||BELANJA LANGSUNG|13.134.000
1.08|022|01|002|5|2|2|BELANJA BARANG DAN JASA|13.134.000
1.08|022|10|||||Program Pengelolaan RTH Pertamanan dan Pemakaman|
1.08|022|10|001||||Pemeliharaan TPU Malaka I, TPU Malaka IV, TPU Jembatan Sampi, TPU Plumpang, TPU Mangga, TPU Tegal Kunir, TPU Sungai Bambu|
1.08|022|10|001|5|2||BELANJA LANGSUNG|522.861.600
1.08|022|10|001|5|2|1|BELANJA PEGAWAI|518.400.000
1.08|022|10|001|5|2|2|BELANJA BARANG DAN JASA|4.461.600
1.08|022|10|||||Program Pengelolaan RTH Pertamanan dan Pemakaman|
1.08|022|10|002||||Pemeliharaan TPU Semper|
1.08|022|10|002|5|2||BELANJA LANGSUNG|1.471.245.600
1.08|022|10|002|5|2|1|BELANJA PEGAWAI|1.198.800.000
1.08|022|10|002|5|2|2|BELANJA BARANG DAN JASA|272.445.600
1.08|022|10|||||Program Pengelolaan RTH Pertamanan dan Pemakaman|
1.08|022|10|003||||Pemeliharaan Alat Kerja Lapangan|
1.08|022|10|003|5|2||BELANJA LANGSUNG|58.380.000
1.08|022|10|003|5|2|2|BELANJA BARANG DAN JASA|58.380.000
1.08|022|10|||||Program Pengelolaan RTH Pertamanan dan Pemakaman|
1.08|022|10|005||||Penataan Sarana Prasarana Pertamanan Jakarta Utara|
1.08|022|10|005|5|2||BELANJA LANGSUNG|11.981.807.004
1.08|022|10|005|5|2|2|BELANJA BARANG DAN JASA|10.847.650.019
1.08|022|10|005|5|2|3|BELANJA MODAL|1.134.156.985
1.08|022|10|||||Program Pengelolaan RTH Pertamanan dan Pemakaman|
1.08|022|10|006||||Pengadaan Sarana Prasarana Pemakaman Jakarta Utara|
1.08|022|10|006|5|2||BELANJA LANGSUNG|799.848.339
1.08|022|10|006|5|2|2|BELANJA BARANG DAN JASA|288.101.055
1.08|022|10|006|5|2|3|BELANJA MODAL|511.747.284
1.08|022|10|||||Program Pengelolaan RTH Pertamanan dan Pemakaman|
1.08|022|10|007||||Penanganan segera Perbaikan Taman di wilayah Jakarta Utara dan Penanganan segera Ornamen Kota di Taman dan Jalur Hijau di Wilayah Jakarta Utara|
1.08|022|10|007|5|2||BELANJA LANGSUNG|2.099.358.589
1.08|022|10|007|5|2|2|BELANJA BARANG DAN JASA|86.558.230
1.08|022|10|007|5|2|3|BELANJA MODAL|2.012.800.359
1.08|022|10|||||Program Pengelolaan RTH Pertamanan dan Pemakaman|
1.08|022|10|008||||Penanganan segera Pohon Mati, Tumbang, Pemangkasan dan Permintaan Masyarakat di Wilayah Jakarta Utara & Piket Pohon Tumbang pada Hari Besar|
1.08|022|10|008|5|2||BELANJA LANGSUNG|839.679.454
1.08|022|10|008|5|2|1|BELANJA PEGAWAI|50.000.000
1.08|022|10|008|5|2|2|BELANJA BARANG DAN JASA|6.250.000
1.08|022|10|008|5|2|3|BELANJA MODAL|783.429.454
1.08|022|10|||||Program Pengelolaan RTH Pertamanan dan Pemakaman|
1.08|022|10|009||||Pemeliharaan Taman di Kecamatan Cilincing (taman Rt 014 Rw 009 Kelurahan Semper Barat, taman Jl. Rorotan I Rt 002 RW 02 Kel. Rorotan, Taman Marunda RW 03, Taman Rorotan RW 02, Taman RT 06, RT 12 RW 01 Kel. Semper Barat, Taman Majapahit , Taman Gading Griya Lestari, Taman Wijaya Kusuma, Taman Camar I, Taman Camar II, Taman Beo, Taman Tipar Selatan Kel. Sukapura, Taman Angin Prahara, Taman Segitiga Yon Air, Taman Sungai Progo, Taman Griya Lestari/ Depan Pospol, Taman RW 017 Kel. Semper Barat, Taman Taruna Jaya II, Taman Pemadam Kebakaran, Taman Sena, Taman Komp. Kebersihan, Taman Beting, Taman Interaksi Sosial RW 10 Kampung Beting Kel. Semper Barat, Taman Janur Kel. Cilincing, Taman RW 07 Kel. Kalibaru dan Taman RW 08 Kel. Sukapura)|
1.08|022|10|009|5|2||BELANJA LANGSUNG|1.746.576.000
1.08|022|10|009|5|2|1|BELANJA PEGAWAI|1.684.800.000
1.08|022|10|009|5|2|2|BELANJA BARANG DAN JASA|61.776.000
1.08|022|10|||||Program Pengelolaan RTH Pertamanan dan Pemakaman|
1.08|022|10|010||||Pemeliharaan Jalur Hijau di Kecamatan Cilincing (Jl. Marunda (Sungai Tiram) s/d Jl. Rorotan 4, Jl. Rorotan (Babek TNI), JH. Jl. Sungai Progo Kel. Semper Barat, Jl. Akses Marunda s/d Pertigaan STIP, Pertigaan STIP s/d Rumah Sipitung dan Rusun Marunda, dan Jl. Cacing Raya sisi Timur dan Barat (dari pertigaan Jl. Cilincing s/d Fly Over KBN))|
1.08|022|10|010|5|2||BELANJA LANGSUNG|1.954.080.000
1.08|022|10|010|5|2|1|BELANJA PEGAWAI|1.944.000.000
1.08|022|10|010|5|2|2|BELANJA BARANG DAN JASA|10.080.000
1.08|022|10|||||Program Pengelolaan RTH Pertamanan dan Pemakaman|
1.08|022|10|011||||Pemeliharaan Taman di Kecamatan Tanjung Priok (Taman Kebon Bawang VI, Taman RW 13, Taman Sekneg Kel. Sunter Agung, Taman Kolong Tol Jati, Taman Kolong Tol Warakas, Taman FO Warakas, Taman FO Sungai Bambu, Taman Pelita, Taman Cucut, Taman RW 08 Kel. Sunter Agung, Taman Pospol Kav. 17 Kel. Sunter Agung, Taman Kupat Kumis RW 05 Kel. Sunter Jaya, Taman RW 03 (RT 006 dan RT 013), Taman Jl. Indo Karya Kel. Papanggo, Taman BMW, Taman Bahari, Taman Segitiga Term. Tanjung Priok, Taman samping Stasiun, Taman Segitiga Enggano, Taman Gorontalo, Taman Blok B Komp. DKI Sunter Agung, Taman Komp. DKI Sunter Jaya, Taman Komp. Kesehatan Jl. Sunter Jaya, Taman Depan Pos RW 08, Taman Komp. Kebersihan RW 07 Kel. Sunter Jaya, Taman Blok A RW 13, Taman Blok E RW 13, Taman Blok G RW 18 Kel. Sunter Agung, Taman Gajah,Taman RT 002, Taman RT 003 RW 013 Kel. Sunter Agung, dan Taman Warakas RW 08)|
1.08|022|10|011|5|2||BELANJA LANGSUNG|3.026.808.000
1.08|022|10|011|5|2|1|BELANJA PEGAWAI|2.948.400.000
1.08|022|10|011|5|2|2|BELANJA BARANG DAN JASA|78.408.000
1.08|022|10|||||Program Pengelolaan RTH Pertamanan dan Pemakaman|
1.08|022|10|012||||Pemeliharaan Jalur Hijau di Kecamatan Tanjung Priok (JH. Jl. Tenggiri depan RS. Sukmul, Jl. Ende, Jl. Elfa Putih 1 s/d 4, JH. Jl. Mitra Sunter Boulevard. Jl. Danau Indah Raya, Jl. Taman Sunter Indah, Jl. Danau Permai Raya sisi Barat dan Timur, Jl. Sunter Karya Timur, Jl. Sunter Karya Utara, Jl. Sunter Karya Selatan, Jl. Bisma Raya Kel. Papanggo, Jl. Sunter Kemayoran, Jl. Sunter Jaya Timur, Jl. Sunter Indah, Jl. Sunter Kirana, Jl H. Amsir, Jl. Danau Sunter Selatan (dari perempatan lampu merah Sunter C s/d pertigaan lampu merah Jubille), Jl. Danau Agung 2 s/d Jl. Agung Indah 3, Jl. Agung Timur 1, JH Jl. Yos Sudarso Sisi Timur (Plumpang s/d Rumah Pompa Depan Sebrang AHM), Jl. Danau Sunter Utara (Sunter C), Jl. Agung Utara 2, Jl. Danau Sunter Barat (dari pertigaan Jubille s/d pertigaan Jl. RE. Martadinata), Jl. Sunter Permai Raya s/d Jl. Sunter Garden (dari pertigaan BMW s/d Pertigaan Jl. Danau Sunter Utara ), Jl. Griya Utama,JH Median Jl. Bugis dan Depan Puskesmas dan JH. Median Jl. Yos Sudarso dan sisi Barat (Lampu Merah ITC Cempaka Mas s/d Lampu Merah Permai)|
1.08|022|10|012|5|2||BELANJA LANGSUNG|4.735.800.000
1.08|022|10|012|5|2|1|BELANJA PEGAWAI|4.698.000.000
1.08|022|10|012|5|2|2|BELANJA BARANG DAN JASA|37.800.000
1.08|022|10|||||Program Pengelolaan RTH Pertamanan dan Pemakaman|
1.08|022|10|013||||Pemeliharaan Taman di Kecamatan Koja (Taman Mawar, Taman Gg. CC, Taman Depan dan Samping Suku Dinas Perhubungan, Taman RW 012 Belakang Pos RW Kel. Koja, Taman Interaktif RW 07 Kel. Lagoa, Taman Jl. Mangga, Taman Jl. Blok M Rt. 10/015, Taman Melur Jl. Inspeksi Sal/CPG Sindang, Taman Sindang, Taman Jl. Lontar Rt. 03/05, Taman Jl. Lunas, Taman Pandu Kepil, Taman Alur Laut, Taman Walang Baru, Taman Toar/ Permata RW 016, Taman Palm, Taman Kelapa Muda, Taman Komp. UKA dan Taman Rawa Badak Utara)|
1.08|022|10|013|5|2||BELANJA LANGSUNG|1.179.144.000
1.08|022|10|013|5|2|1|BELANJA PEGAWAI|1.134.000.000
1.08|022|10|013|5|2|2|BELANJA BARANG DAN JASA|45.144.000
1.08|022|10|||||Program Pengelolaan RTH Pertamanan dan Pemakaman|
1.08|022|10|014||||Pemeliharaan Taman di Kecamatan Penjaringan (Taman Elang Bondol Kel. Pluit, Taman RW 11 Muara Angke, Taman Boncel RT 008/012, Taman RT 01/013, Taman RT 05/ RW 13, Taman RT 008 RW 013, Taman Harmoni Mas, dan Taman Pasar Ikan Kamal Muara Kel. Pejagalan)|
1.08|022|10|014|5|2||BELANJA LANGSUNG|407.808.000
1.08|022|10|014|5|2|1|BELANJA PEGAWAI|388.800.000
1.08|022|10|014|5|2|2|BELANJA BARANG DAN JASA|19.008.000
1.08|022|10|||||Program Pengelolaan RTH Pertamanan dan Pemakaman|
1.08|022|10|015||||Pemeliharaan Taman di Kecamatan Pademangan (Taman Komp. Transmigrasi, Taman Komp. Pemadam Kebakaran Kel. Ancol, Taman RW 13 Kel. Pademangan Barat dan Taman Segitiga Jl. Kerapu - Sunda Kelapa)|
1.08|022|10|015|5|2||BELANJA LANGSUNG|233.928.000
1.08|022|10|015|5|2|1|BELANJA PEGAWAI|226.800.000
1.08|022|10|015|5|2|2|BELANJA BARANG DAN JASA|7.128.000
1.08|022|10|||||Program Pengelolaan RTH Pertamanan dan Pemakaman|
1.08|022|10|016||||Pemeliharaan Pergola Tanaman, Pergantian Wadah serta Media Tanam dan Pemeliharaan Tanaman Indoor Kantor Sudin Pertamanan utara dan Walikota Jakarta Utara|
1.08|022|10|016|5|2||BELANJA LANGSUNG|296.662.195
1.08|022|10|016|5|2|2|BELANJA BARANG DAN JASA|68.098.546
1.08|022|10|016|5|2|3|BELANJA MODAL|228.563.649
1.08|022|10|||||Program Pengelolaan RTH Pertamanan dan Pemakaman|
1.08|022|10|017||||Pemeliharaan Jalur Hijau di Kecamatan Penjaringan (Jl. Pluit Utara, Jl. Pluit Karang Utara, Jl. Pluit Barat (Bantaran Kali), Jl. Pluit Indah, JH. Segitiga Pluit, Jl. Gedong Panjang, Jl. Jembatan II s/d III dan Kolong Fly Over, Jl. Aks Pluit (Pluit Raya II), Galangan VOC dan Jl. Kakap, Jl. Bandengan UtaraSelatan s/d Jl. Bandengan Terusan, Jl. Pluit Selatan Raya, Jl. Pluit Timur Raya, JH. Pulau-Pulau Taman Perahu dan Elang Bondol, Jl. Pluit Raya sisi Selatan dan Utara, Jl. Bakti (Kali Krukut sisi Timur dan Barat), Jl. Pluit Selatan Raya (dari Mall Junction s/d depan Pintu Tol Pluit 3), Jl. Pluit Karang Karya I, dan JH. Sisi Selatan Waduk Pluit (dari Jl. Pluit Timur Raya s/d Jl. Pluit Selatan Raya))|
1.08|022|10|017|5|2||BELANJA LANGSUNG|2.684.520.000
1.08|022|10|017|5|2|1|BELANJA PEGAWAI|2.656.800.000
1.08|022|10|017|5|2|2|BELANJA BARANG DAN JASA|27.720.000
1.08|022|10|||||Program Pengelolaan RTH Pertamanan dan Pemakaman|
1.08|022|10|018||||Pemeliharaan Jalur Hijau di Kecamatan Pademangan (JH. Jl. Pademangan Raya (Kalimati), Jl. Hidup Baru, Jl. Gunung Sahari (dari pintu Kereta Api s/d perempatan lampu merah Ancol), Jl. Mangga Dua Raya,Jl. Kampung Bandan Kel. Ancol, Jl. RE. Martadinata (dari Terminal Tanjung Priok s/d Jembatan Jl. Lodan) dan Jl. Lodan (dari Pelabuhan Sunda Kelapa s/d lampu merah Ancol))|
1.08|022|10|018|5|2||BELANJA LANGSUNG|916.020.000
1.08|022|10|018|5|2|1|BELANJA PEGAWAI|907.200.000
1.08|022|10|018|5|2|2|BELANJA BARANG DAN JASA|8.820.000
1.08|022|10|||||Program Pengelolaan RTH Pertamanan dan Pemakaman|
1.08|022|10|019||||Pemeliharaan Jalur Hijau di Kecamatan Kelapa Gading (Jl. Torompio, Jl. Accordion, Jl. Tarian Barat Raya dan Timur Raya, Jl. Boulevard Barat, Jl. Boulevard Timur, Jl. Pegangsaan Dua, Jl. Kelapa Nias Raya depan Kantor Kelurahan Pegangsaan Dua, Jl. Pulau Karya, Jl. Tabah Raya, Jl. Pulau Galang, Jl. Boulevard BGR, Jl. BGR I depan Dinas Perindustrian, Jl. Pelepah Raya, Jl. Perintis Kemerdekaan Sisi Utara s/d terminal pulo gadung dan Jl. Arteri Kelapa Gading)|
1.08|022|10|019|5|2||BELANJA LANGSUNG|1.476.900.000
1.08|022|10|019|5|2|1|BELANJA PEGAWAI|1.458.000.000
1.08|022|10|019|5|2|2|BELANJA BARANG DAN JASA|18.900.000
1.08|022|10|||||Program Pengelolaan RTH Pertamanan dan Pemakaman|
1.08|022|10|020||||Pemeliharaan Jalur Hijau di Kecamatan Koja (JH. Tepian Kali Sunter Jl. Cikijang I s/d Jl Cipeucang I (Kali Kresek), Jl. Inspeksi Sindang, Jl. Inspeksi Rawa Badak, Jl. Inspeksi Kali Sunter sisi Timur dan Median Jl. Kramat Jaya (depan Islamic Center)|
1.08|022|10|020|5|2||BELANJA LANGSUNG|719.100.000
1.08|022|10|020|5|2|1|BELANJA PEGAWAI|712.800.000
1.08|022|10|020|5|2|2|BELANJA BARANG DAN JASA|6.300.000
1.08|022|10|||||Program Pengelolaan RTH Pertamanan dan Pemakaman|
1.08|022|10|021||||Penanganan segera Perbaikan Jalur Hijau di Wilayah Jakarta Utara dan Penanganan Segera Perbaikan Pagar Jalur Hijau di Wilayah Kota Administrasi Jakarta Utara|
1.08|022|10|021|5|2||BELANJA LANGSUNG|2.248.377.767
1.08|022|10|021|5|2|2|BELANJA BARANG DAN JASA|92.493.830
1.08|022|10|021|5|2|3|BELANJA MODAL|2.155.883.937
1.08|022|10|||||Program Pengelolaan RTH Pertamanan dan Pemakaman|
1.08|022|10|022||||Penertiban Taman/Jalur Hijau di Kota Administrasi Jakarta Utara dan Pengamanan Pasca Penertiban Taman/Jalur Hijau di Kota Administrasi Jakarta Utara|
1.08|022|10|022|5|2||BELANJA LANGSUNG|499.990.200
1.08|022|10|022|5|2|2|BELANJA BARANG DAN JASA|499.990.200
1.08|022|10|||||Program Pengelolaan RTH Pertamanan dan Pemakaman|
1.08|022|10|023||||Penanganan segera Pasca Penertiban Taman dan Jalur Hijau di Kota Administrasi Jakarta Utara|
1.08|022|10|023|5|2||BELANJA LANGSUNG|292.135.760
1.08|022|10|023|5|2|2|BELANJA BARANG DAN JASA|6.117.050
1.08|022|10|023|5|2|3|BELANJA MODAL|286.018.710
1.08|022|10|||||Program Pengelolaan RTH Pertamanan dan Pemakaman|
1.08|022|10|025||||Peningkatan Taman Rawa Badak Utara|
1.08|022|10|025|5|2||BELANJA LANGSUNG|2.999.669.456
1.08|022|10|025|5|2|2|BELANJA BARANG DAN JASA|99.100.430
1.08|022|10|025|5|2|3|BELANJA MODAL|2.900.569.026
1.08|022|10|||||Program Pengelolaan RTH Pertamanan dan Pemakaman|
1.08|022|10|026||||Penyediaan Pupuk dan Obat-obatan Tanaman|
1.08|022|10|026|5|2||BELANJA LANGSUNG|49.770.567
1.08|022|10|026|5|2|2|BELANJA BARANG DAN JASA|49.770.567
1.08|022|10|||||Program Pengelolaan RTH Pertamanan dan Pemakaman|
1.08|022|10|027||||Penataan Koridor Kawasan Jl. Bugis|
1.08|022|10|027|5|2||BELANJA LANGSUNG|2.969.018.719
1.08|022|10|027|5|2|2|BELANJA BARANG DAN JASA|99.276.430
1.08|022|10|027|5|2|3|BELANJA MODAL|2.869.742.289
1.08|022|10|||||Program Pengelolaan RTH Pertamanan dan Pemakaman|
1.08|022|10|028||||Pengadaan (Tanaman Hias Berbunga Indah,Tanaman Hias Berdaun Indah, Pohon Pelindung Berbunga Indah, Pohon Pelindung Berdaun Indah, Tanaman Indoor untuk Kantor Sudin Pertamanan dan Pemakaman Jakarta Utara dan Tanaman dalam Penunjang Lomba Tingkat Kota, Provinsi dan Nasional)|
1.08|022|10|028|5|2||BELANJA LANGSUNG|1.099.790.670
1.08|022|10|028|5|2|2|BELANJA BARANG DAN JASA|76.505.000
1.08|022|10|028|5|2|3|BELANJA MODAL|1.023.285.670
1.08|022|10|||||Program Pengelolaan RTH Pertamanan dan Pemakaman|
1.08|022|10|029||||Pembangunan Taman Kota Layak Anak|
1.08|022|10|029|5|2||BELANJA LANGSUNG|691.968.358
1.08|022|10|029|5|2|2|BELANJA BARANG DAN JASA|24.877.050
1.08|022|10|029|5|2|3|BELANJA MODAL|667.091.308
1.08|022|10|||||Program Pengelolaan RTH Pertamanan dan Pemakaman|
1.08|022|10|030||||Pengadaan Peralatan Kerja Lapangan & Pengadaan Kantong Sampah (Trash Bag)|
1.08|022|10|030|5|2||BELANJA LANGSUNG|299.026.695
1.08|022|10|030|5|2|2|BELANJA BARANG DAN JASA|299.026.695
1.08|022|10|||||Program Pengelolaan RTH Pertamanan dan Pemakaman|
1.08|022|10|031||||Peningkatan Jalur Hijau di Kecamatan kelapa Gading (Jl. Yos Sudarso sisi Timur (dari Pintu II Artha Gading s/d Tanjakan Fly Over), Jl. Boulevard BGR, Jl. Kelapa Kopyor Kel. Kelapa Gading Timur, Jl. Kelapa Nias sisi Utara (depan Kelurahan Pegangsaan Dua) dan Jl. Seluang Kec. Kelapa Gading)|
1.08|022|10|031|5|2||BELANJA LANGSUNG|999.458.365
1.08|022|10|031|5|2|2|BELANJA BARANG DAN JASA|63.130.870
1.08|022|10|031|5|2|3|BELANJA MODAL|936.327.495
1.08|022|10|||||Program Pengelolaan RTH Pertamanan dan Pemakaman|
1.08|022|10|032||||Peningkatan Median Kolong Jl. Yos Sudarso (1. dari Lampu Merah ITC Cempaka Mas s/d Putaran 1 AHM, 2. dari Putaran 1 AHM s/d Jl Mitra Sunter Boulevard /MOI, 3. dari Jl. Mitra Sunter Boulevard /MOI s/d Putaran depan Mandom, 4. dari Putaran depan PT. Mandom s/d Putara Artha Gading dan 5. dari Putaran Artha Gading s/d Dinding Tol)|
1.08|022|10|032|5|2||BELANJA LANGSUNG|5.799.532.175
1.08|022|10|032|5|2|2|BELANJA BARANG DAN JASA|330.567.290
1.08|022|10|032|5|2|3|BELANJA MODAL|5.468.964.885
1.08|022|10|||||Program Pengelolaan RTH Pertamanan dan Pemakaman|
1.08|022|10|033||||Peningkatan Jalur Hijau di Kecamatan Tanjung Priok (Jl. Agung Timur 1 (sisi pinggir kali Barat dan Timur), JH. Median Jl. Danau Sunter Barat (depan Pengadilan), Jl. Yos Sudarso sisi Barat (dari Halte TNI AL 2), Jl. Yos Sudarso sisi Barat (kolong Fly Over Mitra Sunter Boulevard), Jl. Swasembada Raya)|
1.08|022|10|033|5|2||BELANJA LANGSUNG|1.497.175.193
1.08|022|10|033|5|2|2|BELANJA BARANG DAN JASA|54.500.380
1.08|022|10|033|5|2|3|BELANJA MODAL|1.442.674.813
1.08|022|10|||||Program Pengelolaan RTH Pertamanan dan Pemakaman|
1.08|022|10|034||||Peningkatan Taman di Kecamatan Cilincing (Taman Janur Kuning dan Taman Jl. Kalibaru Barat IV RW.009 kel. Kalibaru)|
1.08|022|10|034|5|2||BELANJA LANGSUNG|389.617.765
1.08|022|10|034|5|2|2|BELANJA BARANG DAN JASA|9.292.800
1.08|022|10|034|5|2|3|BELANJA MODAL|380.324.965
1.08|022|10|||||Program Pengelolaan RTH Pertamanan dan Pemakaman|
1.08|022|10|035||||Pengadaan Mesin Potong Pohon, Mesin Potong Rumput dan Mesin Pompa Air & Kelengkapannya|
1.08|022|10|035|5|2||BELANJA LANGSUNG|496.091.605
1.08|022|10|035|5|2|3|BELANJA MODAL|496.091.605
1.08|022|10|||||Program Pengelolaan RTH Pertamanan dan Pemakaman|
1.08|022|10|036||||Peningkatan Taman di Kecamatan Kelapa Gading (Taman Bongo, Taman Maramba, Taman Jl. Pulau Penyengat III dan Jl. Pulau Penyengat Timur RW 03 Kel. Kelapa Gading Barat, Taman RT. 01 RW. 20 Kel. Pegangsaan Dua, dan Taman Jl. Jl.Summagung II / Jl.Gading Putih)|
1.08|022|10|036|5|2||BELANJA LANGSUNG|1.096.490.179
1.08|022|10|036|5|2|2|BELANJA BARANG DAN JASA|26.794.680
1.08|022|10|036|5|2|3|BELANJA MODAL|1.069.695.499
1.08|022|10|||||Program Pengelolaan RTH Pertamanan dan Pemakaman|
1.08|022|10|037||||Pemeliharaan Taman di Kecamatan Kelapa Gading (Taman Tarian Klasik, Komp. Perumahan Walikota Jl. Gading Raya, Taman Jl. Pelepah Indah, Taman Simponi Mas, Taman Bongo dan Taman Gading Indah)|
1.08|022|10|037|5|2||BELANJA LANGSUNG|500.256.000
1.08|022|10|037|5|2|1|BELANJA PEGAWAI|486.000.000
1.08|022|10|037|5|2|2|BELANJA BARANG DAN JASA|14.256.000
1.08|022|10|||||Program Pengelolaan RTH Pertamanan dan Pemakaman|
1.08|022|10|038||||Peningkatan Jalur Hijau di Kecamatan Kelapa Gading (JH Jl. Sentosa Barat,Jl. Torompio RW. 06 Kel. Pegangsaan Dua dan Jl. Bukit Gading Raya RT. 002 RW 05 Kel. Kelapa Gading Barat)|
1.08|022|10|038|5|2||BELANJA LANGSUNG|699.900.071
1.08|022|10|038|5|2|2|BELANJA BARANG DAN JASA|24.174.170
1.08|022|10|038|5|2|3|BELANJA MODAL|675.725.901
1.08|022|10|||||Program Pengelolaan RTH Pertamanan dan Pemakaman|
1.08|022|10|039||||Peningkatan Taman di Kecamatan Koja (Taman Toar, Melur, Taman Mawar dan Taman Mangga)|
1.08|022|10|039|5|2||BELANJA LANGSUNG|1.496.056.150
1.08|022|10|039|5|2|2|BELANJA BARANG DAN JASA|53.348.900
1.08|022|10|039|5|2|3|BELANJA MODAL|1.442.707.250
1.08|022|10|||||Program Pengelolaan RTH Pertamanan dan Pemakaman|
1.08|022|10|040||||Peningkatan RTH dsk Waduk Teluk Gong RW 012 Kec. Penjaringan|
1.08|022|10|040|5|2||BELANJA LANGSUNG|897.342.874
1.08|022|10|040|5|2|2|BELANJA BARANG DAN JASA|11.924.000
1.08|022|10|040|5|2|3|BELANJA MODAL|885.418.874
1.08|022|10|||||Program Pengelolaan RTH Pertamanan dan Pemakaman|
1.08|022|10|041||||Peningkatan JH JL. Pluit Raya Utara|
1.08|022|10|041|5|2||BELANJA LANGSUNG|490.720.816
1.08|022|10|041|5|2|2|BELANJA BARANG DAN JASA|5.461.500
1.08|022|10|041|5|2|3|BELANJA MODAL|485.259.316
1.08|022|10|||||Program Pengelolaan RTH Pertamanan dan Pemakaman|
1.08|022|10|042||||Peningkatan Jalur Hijau di Kecamatan Penjaringan (Median Jl. Pakin (dari Jl. Gedung Panjang s/d Jl. Pakin) dan Jl. Aks Pluit II)|
1.08|022|10|042|5|2||BELANJA LANGSUNG|698.624.505
1.08|022|10|042|5|2|2|BELANJA BARANG DAN JASA|25.097.160
1.08|022|10|042|5|2|3|BELANJA MODAL|673.527.345
1.08|022|10|||||Program Pengelolaan RTH Pertamanan dan Pemakaman|
1.08|022|10|043||||Pembangunan Taman Jl. Danau Sunter Utara RW 020 Kel. Sunter Agung Kec. Tanjung Priok|
1.08|022|10|043|5|2||BELANJA LANGSUNG|194.378.387
1.08|022|10|043|5|2|2|BELANJA BARANG DAN JASA|4.180.660
1.08|022|10|043|5|2|3|BELANJA MODAL|190.197.727
1.08|022|10|||||Program Pengelolaan RTH Pertamanan dan Pemakaman|
1.08|022|10|044||||Peningkatan Taman di kecamatan Kelapa Gading (Taman Gading Indah, Taman interakif Rw 02 Kel.Kelapa Gading Barat, Taman Kelapa Puan IV, Taman Kelapa Puan I, Taman simponi Mas, Taman H . Oyar, Taman Harpa Kel. Pegangsaan dua, Taman Taska dan Taman Teluk Ratai)|
1.08|022|10|044|5|2||BELANJA LANGSUNG|1.799.983.030
1.08|022|10|044|5|2|2|BELANJA BARANG DAN JASA|52.572.466
1.08|022|10|044|5|2|3|BELANJA MODAL|1.747.410.564
1.08|022|10|||||Program Pengelolaan RTH Pertamanan dan Pemakaman|
1.08|022|10|045||||Peningkatan Taman di Kecamatan Tanjung Priok (Taman Kolong Tol Warakas,Taman Kolong Tol Sungai Bambu dan Taman Jl. Sunter Hijau III Kel. Sunter Jaya Kec. Tanjung Priok)|
1.08|022|10|045|5|2||BELANJA LANGSUNG|582.004.717
1.08|022|10|045|5|2|2|BELANJA BARANG DAN JASA|11.719.180
1.08|022|10|045|5|2|3|BELANJA MODAL|570.285.537
1.08|022|10|||||Program Pengelolaan RTH Pertamanan dan Pemakaman|
